id,reltrad,reltrad2,reltrad3
663,Mainline Protestant,Mainline Protestant,Mainline Protestant
664,Roman Catholic,Roman Catholic,Roman Catholic
665,Roman Catholic,Roman Catholic,Roman Catholic
666,Mainline Protestant,Mainline Protestant,Mainline Protestant
667,NA,Conservative Protestant,Protestant No Denomination
668,Mainline Protestant,Mainline Protestant,Mainline Protestant
669,Mainline Protestant,Mainline Protestant,Mainline Protestant
670,Roman Catholic,Roman Catholic,Roman Catholic
671,Mainline Protestant,Mainline Protestant,Mainline Protestant
672,Conservative Protestant,Conservative Protestant,Protestant No Denomination
673,Conservative Protestant,Conservative Protestant,Conservative Protestant
674,Conservative Protestant,Conservative Protestant,Conservative Protestant
675,Mainline Protestant,Mainline Protestant,Mainline Protestant
676,Conservative Protestant,Conservative Protestant,Conservative Protestant
677,Mainline Protestant,Mainline Protestant,Mainline Protestant
678,Conservative Protestant,Conservative Protestant,Conservative Protestant
679,Roman Catholic,Roman Catholic,Roman Catholic
680,Conservative Protestant,Conservative Protestant,Conservative Protestant
681,Conservative Protestant,Conservative Protestant,Conservative Protestant
682,Mainline Protestant,Mainline Protestant,Mainline Protestant
683,Conservative Protestant,Conservative Protestant,Conservative Protestant
684,Mainline Protestant,Mainline Protestant,Mainline Protestant
685,Mainline Protestant,Mainline Protestant,Mainline Protestant
686,Conservative Protestant,Conservative Protestant,Conservative Protestant
687,Conservative Protestant,Conservative Protestant,Conservative Protestant
688,Mainline Protestant,Mainline Protestant,Mainline Protestant
689,Mainline Protestant,Mainline Protestant,Mainline Protestant
690,Conservative Protestant,Conservative Protestant,Conservative Protestant
691,Conservative Protestant,Conservative Protestant,Conservative Protestant
692,Conservative Protestant,Conservative Protestant,Protestant No Denomination
693,Roman Catholic,Roman Catholic,Roman Catholic
694,Mainline Protestant,Mainline Protestant,Mainline Protestant
695,None,None,None
696,Mainline Protestant,Mainline Protestant,Mainline Protestant
697,Conservative Protestant,Conservative Protestant,Conservative Protestant
698,Conservative Protestant,Conservative Protestant,Conservative Protestant
699,Mainline Protestant,Mainline Protestant,Mainline Protestant
700,Roman Catholic,Roman Catholic,Roman Catholic
701,Conservative Protestant,Conservative Protestant,Conservative Protestant
702,Roman Catholic,Roman Catholic,Roman Catholic
703,None,None,None
704,Roman Catholic,Roman Catholic,Roman Catholic
705,Roman Catholic,Roman Catholic,Roman Catholic
706,Conservative Protestant,Conservative Protestant,Conservative Protestant
707,Conservative Protestant,Conservative Protestant,Conservative Protestant
708,Conservative Protestant,Conservative Protestant,Conservative Protestant
709,Black Protestant,Black Protestant,Black Protestant
710,Mainline Protestant,Mainline Protestant,Mainline Protestant
711,Black Protestant,Black Protestant,Black Protestant
712,Conservative Protestant,Conservative Protestant,Conservative Protestant
713,Conservative Protestant,Conservative Protestant,Conservative Protestant
714,Conservative Protestant,Conservative Protestant,Conservative Protestant
715,Black Protestant,Black Protestant,Black Protestant
716,Black Protestant,Black Protestant,Black Protestant
717,Black Protestant,Black Protestant,Black Protestant
718,Conservative Protestant,Conservative Protestant,Conservative Protestant
719,Conservative Protestant,Conservative Protestant,Conservative Protestant
720,Conservative Protestant,Conservative Protestant,Conservative Protestant
721,Conservative Protestant,Conservative Protestant,Conservative Protestant
722,Mainline Protestant,Mainline Protestant,Mainline Protestant
723,Roman Catholic,Roman Catholic,Roman Catholic
724,Roman Catholic,Roman Catholic,Roman Catholic
725,Black Protestant,Black Protestant,Black Protestant
726,Conservative Protestant,Conservative Protestant,Conservative Protestant
727,Conservative Protestant,Conservative Protestant,Conservative Protestant
728,Black Protestant,Black Protestant,Black Protestant
729,Conservative Protestant,Conservative Protestant,Conservative Protestant
730,Conservative Protestant,Conservative Protestant,Conservative Protestant
731,Conservative Protestant,Conservative Protestant,Conservative Protestant
732,Conservative Protestant,Conservative Protestant,Conservative Protestant
733,Mainline Protestant,Mainline Protestant,Mainline Protestant
734,Black Protestant,Black Protestant,Black Protestant
735,Black Protestant,Black Protestant,Black Protestant
736,Black Protestant,Black Protestant,Black Protestant
737,Mainline Protestant,Mainline Protestant,Mainline Protestant
738,Roman Catholic,Roman Catholic,Roman Catholic
739,Roman Catholic,Roman Catholic,Roman Catholic
740,Roman Catholic,Roman Catholic,Roman Catholic
741,NA,Conservative Protestant,Protestant No Denomination
742,Mainline Protestant,Mainline Protestant,Mainline Protestant
743,None,None,None
744,Roman Catholic,Roman Catholic,Roman Catholic
745,Roman Catholic,Roman Catholic,Roman Catholic
746,Roman Catholic,Roman Catholic,Roman Catholic
747,NA,NA,NA
748,Conservative Protestant,Conservative Protestant,Conservative Protestant
749,None,None,None
750,None,None,None
751,None,None,None
752,Mainline Protestant,Mainline Protestant,Mainline Protestant
753,Roman Catholic,Roman Catholic,Roman Catholic
754,Roman Catholic,Roman Catholic,Roman Catholic
755,Mainline Protestant,Mainline Protestant,Mainline Protestant
756,Roman Catholic,Roman Catholic,Roman Catholic
757,Black Protestant,Black Protestant,Black Protestant
758,Black Protestant,Black Protestant,Black Protestant
759,Roman Catholic,Roman Catholic,Roman Catholic
760,Mainline Protestant,Mainline Protestant,Mainline Protestant
761,None,None,None
762,None,None,None
763,Jewish,Jewish,Jewish
764,Roman Catholic,Roman Catholic,Roman Catholic
765,Roman Catholic,Roman Catholic,Roman Catholic
766,Roman Catholic,Roman Catholic,Roman Catholic
767,Roman Catholic,Roman Catholic,Roman Catholic
768,Mainline Protestant,Mainline Protestant,Mainline Protestant
769,Roman Catholic,Roman Catholic,Roman Catholic
770,Mainline Protestant,Mainline Protestant,Mainline Protestant
771,Roman Catholic,Roman Catholic,Roman Catholic
772,Mainline Protestant,Mainline Protestant,Mainline Protestant
773,Roman Catholic,Roman Catholic,Roman Catholic
774,Roman Catholic,Roman Catholic,Roman Catholic
775,Conservative Protestant,Conservative Protestant,Conservative Protestant
776,Roman Catholic,Roman Catholic,Roman Catholic
777,Conservative Protestant,Conservative Protestant,Conservative Protestant
778,Jewish,Jewish,Jewish
779,Roman Catholic,Roman Catholic,Roman Catholic
780,Roman Catholic,Roman Catholic,Roman Catholic
781,Roman Catholic,Roman Catholic,Roman Catholic
782,Mainline Protestant,Mainline Protestant,Mainline Protestant
783,Roman Catholic,Roman Catholic,Roman Catholic
784,Roman Catholic,Roman Catholic,Roman Catholic
785,Mainline Protestant,Mainline Protestant,Mainline Protestant
786,Other,Other,Other
787,Black Protestant,Black Protestant,Black Protestant
788,None,None,None
789,Black Protestant,Black Protestant,Black Protestant
790,Mainline Protestant,Mainline Protestant,Mainline Protestant
791,Conservative Protestant,Conservative Protestant,Conservative Protestant
792,Roman Catholic,Roman Catholic,Roman Catholic
793,Roman Catholic,Roman Catholic,Roman Catholic
794,NA,NA,NA
795,Mainline Protestant,Mainline Protestant,Mainline Protestant
796,Mainline Protestant,Mainline Protestant,Mainline Protestant
797,Roman Catholic,Roman Catholic,Roman Catholic
798,Roman Catholic,Roman Catholic,Roman Catholic
799,Mainline Protestant,Mainline Protestant,Mainline Protestant
800,Mainline Protestant,Mainline Protestant,Mainline Protestant
801,Black Protestant,Black Protestant,Black Protestant
802,Mainline Protestant,Mainline Protestant,Mainline Protestant
803,Roman Catholic,Roman Catholic,Roman Catholic
804,Mainline Protestant,Mainline Protestant,Mainline Protestant
805,Mainline Protestant,Mainline Protestant,Mainline Protestant
806,Mainline Protestant,Mainline Protestant,Mainline Protestant
807,Mainline Protestant,Mainline Protestant,Mainline Protestant
808,Mainline Protestant,Mainline Protestant,Mainline Protestant
809,Mainline Protestant,Mainline Protestant,Mainline Protestant
810,Mainline Protestant,Mainline Protestant,Mainline Protestant
811,Mainline Protestant,Mainline Protestant,Mainline Protestant
812,Mainline Protestant,Mainline Protestant,Mainline Protestant
813,Mainline Protestant,Mainline Protestant,Mainline Protestant
814,Mainline Protestant,Mainline Protestant,Mainline Protestant
815,None,None,None
816,Black Protestant,Black Protestant,Black Protestant
817,None,None,None
818,None,None,None
819,Conservative Protestant,Conservative Protestant,Conservative Protestant
820,Roman Catholic,Roman Catholic,Roman Catholic
821,Mainline Protestant,Mainline Protestant,Mainline Protestant
822,Mainline Protestant,Mainline Protestant,Mainline Protestant
823,Roman Catholic,Roman Catholic,Roman Catholic
824,Roman Catholic,Roman Catholic,Roman Catholic
825,Mainline Protestant,Mainline Protestant,Mainline Protestant
826,Conservative Protestant,Conservative Protestant,Conservative Protestant
827,Mainline Protestant,Mainline Protestant,Mainline Protestant
828,NA,NA,NA
829,Mainline Protestant,Mainline Protestant,Mainline Protestant
830,Mainline Protestant,Mainline Protestant,Mainline Protestant
831,Mainline Protestant,Mainline Protestant,Mainline Protestant
832,Mainline Protestant,Mainline Protestant,Mainline Protestant
833,Mainline Protestant,Mainline Protestant,Mainline Protestant
834,Roman Catholic,Roman Catholic,Roman Catholic
835,Roman Catholic,Roman Catholic,Roman Catholic
836,Roman Catholic,Roman Catholic,Roman Catholic
837,Mainline Protestant,Mainline Protestant,Mainline Protestant
838,Roman Catholic,Roman Catholic,Roman Catholic
839,Mainline Protestant,Mainline Protestant,Mainline Protestant
840,Mainline Protestant,Mainline Protestant,Mainline Protestant
841,None,None,None
842,Mainline Protestant,Mainline Protestant,Mainline Protestant
843,Mainline Protestant,Mainline Protestant,Mainline Protestant
844,Mainline Protestant,Mainline Protestant,Mainline Protestant
845,Mainline Protestant,Mainline Protestant,Mainline Protestant
846,Mainline Protestant,Mainline Protestant,Mainline Protestant
847,Roman Catholic,Roman Catholic,Roman Catholic
848,Black Protestant,Black Protestant,Black Protestant
849,Conservative Protestant,Conservative Protestant,Conservative Protestant
850,Roman Catholic,Roman Catholic,Roman Catholic
851,Roman Catholic,Roman Catholic,Roman Catholic
852,Mainline Protestant,Mainline Protestant,Mainline Protestant
853,Mainline Protestant,Mainline Protestant,Mainline Protestant
854,Mainline Protestant,Mainline Protestant,Mainline Protestant
855,Mainline Protestant,Mainline Protestant,Mainline Protestant
856,NA,Conservative Protestant,Protestant No Denomination
857,Roman Catholic,Roman Catholic,Roman Catholic
858,Roman Catholic,Roman Catholic,Roman Catholic
859,Mainline Protestant,Mainline Protestant,Mainline Protestant
860,Mainline Protestant,Mainline Protestant,Mainline Protestant
861,None,None,None
862,Roman Catholic,Roman Catholic,Roman Catholic
863,None,None,None
864,Mainline Protestant,Mainline Protestant,Mainline Protestant
865,Mainline Protestant,Mainline Protestant,Mainline Protestant
866,Mainline Protestant,Mainline Protestant,Mainline Protestant
867,Roman Catholic,Roman Catholic,Roman Catholic
868,Roman Catholic,Roman Catholic,Roman Catholic
869,Conservative Protestant,Conservative Protestant,Conservative Protestant
870,Mainline Protestant,Mainline Protestant,Mainline Protestant
871,Roman Catholic,Roman Catholic,Roman Catholic
872,Mainline Protestant,Mainline Protestant,Mainline Protestant
873,None,None,None
874,Roman Catholic,Roman Catholic,Roman Catholic
875,Mainline Protestant,Mainline Protestant,Mainline Protestant
876,Roman Catholic,Roman Catholic,Roman Catholic
877,Roman Catholic,Roman Catholic,Roman Catholic
878,Roman Catholic,Roman Catholic,Roman Catholic
879,Roman Catholic,Roman Catholic,Roman Catholic
880,Mainline Protestant,Mainline Protestant,Mainline Protestant
881,Conservative Protestant,Conservative Protestant,Conservative Protestant
882,Mainline Protestant,Mainline Protestant,Mainline Protestant
883,Roman Catholic,Roman Catholic,Roman Catholic
884,Conservative Protestant,Conservative Protestant,Conservative Protestant
885,Roman Catholic,Roman Catholic,Roman Catholic
886,Mainline Protestant,Mainline Protestant,Mainline Protestant
887,Mainline Protestant,Mainline Protestant,Mainline Protestant
888,Roman Catholic,Roman Catholic,Roman Catholic
889,Roman Catholic,Roman Catholic,Roman Catholic
890,Roman Catholic,Roman Catholic,Roman Catholic
891,Roman Catholic,Roman Catholic,Roman Catholic
892,Roman Catholic,Roman Catholic,Roman Catholic
893,Mainline Protestant,Mainline Protestant,Mainline Protestant
894,Other,Other,Other
895,Mainline Protestant,Mainline Protestant,Mainline Protestant
896,Roman Catholic,Roman Catholic,Roman Catholic
897,Mainline Protestant,Mainline Protestant,Mainline Protestant
898,Black Protestant,Black Protestant,Black Protestant
899,Black Protestant,Black Protestant,Black Protestant
900,Black Protestant,Black Protestant,Black Protestant
901,None,None,None
902,Black Protestant,Black Protestant,Black Protestant
903,Black Protestant,Black Protestant,Black Protestant
904,Black Protestant,Black Protestant,Black Protestant
905,Black Protestant,Black Protestant,Black Protestant
906,Roman Catholic,Roman Catholic,Roman Catholic
907,Conservative Protestant,Conservative Protestant,Conservative Protestant
908,None,None,None
909,Roman Catholic,Roman Catholic,Roman Catholic
910,None,None,None
911,Jewish,Jewish,Jewish
912,NA,NA,NA
913,Jewish,Jewish,Jewish
914,Mainline Protestant,Mainline Protestant,Mainline Protestant
915,None,None,None
916,Roman Catholic,Roman Catholic,Roman Catholic
917,Other,Other,Other
918,Roman Catholic,Roman Catholic,Roman Catholic
919,Roman Catholic,Roman Catholic,Roman Catholic
920,Roman Catholic,Roman Catholic,Roman Catholic
921,Mainline Protestant,Mainline Protestant,Mainline Protestant
922,Mainline Protestant,Mainline Protestant,Mainline Protestant
923,Roman Catholic,Roman Catholic,Roman Catholic
924,Black Protestant,Black Protestant,Black Protestant
925,Black Protestant,Black Protestant,Black Protestant
926,Black Protestant,Black Protestant,Black Protestant
927,NA,Conservative Protestant,Protestant No Denomination
928,Roman Catholic,Roman Catholic,Roman Catholic
929,Mainline Protestant,Mainline Protestant,Mainline Protestant
930,NA,Conservative Protestant,Protestant No Denomination
931,Other,Other,Other
932,Roman Catholic,Roman Catholic,Roman Catholic
933,Roman Catholic,Roman Catholic,Roman Catholic
934,Roman Catholic,Roman Catholic,Roman Catholic
935,Mainline Protestant,Mainline Protestant,Mainline Protestant
936,Roman Catholic,Roman Catholic,Roman Catholic
937,Mainline Protestant,Mainline Protestant,Mainline Protestant
938,Mainline Protestant,Mainline Protestant,Mainline Protestant
939,Mainline Protestant,Mainline Protestant,Mainline Protestant
940,Conservative Protestant,Conservative Protestant,Protestant No Denomination
941,Conservative Protestant,Conservative Protestant,Conservative Protestant
942,NA,Conservative Protestant,Protestant No Denomination
943,None,None,None
944,NA,Conservative Protestant,Protestant No Denomination
945,Roman Catholic,Roman Catholic,Roman Catholic
946,Roman Catholic,Roman Catholic,Roman Catholic
947,Conservative Protestant,Conservative Protestant,Conservative Protestant
948,Mainline Protestant,Mainline Protestant,Mainline Protestant
949,Roman Catholic,Roman Catholic,Roman Catholic
950,None,None,None
951,None,None,None
952,Roman Catholic,Roman Catholic,Roman Catholic
953,Black Protestant,Black Protestant,Black Protestant
954,Black Protestant,Black Protestant,Black Protestant
955,Black Protestant,Black Protestant,Black Protestant
956,Conservative Protestant,Conservative Protestant,Protestant No Denomination
957,Other,Other,Other
958,Roman Catholic,Roman Catholic,Roman Catholic
959,None,None,None
960,None,None,None
961,Black Protestant,Black Protestant,Black Protestant
962,Black Protestant,Black Protestant,Black Protestant
963,Roman Catholic,Roman Catholic,Roman Catholic
964,Mainline Protestant,Mainline Protestant,Mainline Protestant
965,Mainline Protestant,Mainline Protestant,Mainline Protestant
966,Mainline Protestant,Mainline Protestant,Mainline Protestant
967,Roman Catholic,Roman Catholic,Roman Catholic
968,Mainline Protestant,Mainline Protestant,Mainline Protestant
969,Mainline Protestant,Mainline Protestant,Mainline Protestant
970,Mainline Protestant,Mainline Protestant,Mainline Protestant
971,Mainline Protestant,Mainline Protestant,Mainline Protestant
972,Mainline Protestant,Mainline Protestant,Mainline Protestant
973,Roman Catholic,Roman Catholic,Roman Catholic
974,Mainline Protestant,Mainline Protestant,Mainline Protestant
975,Roman Catholic,Roman Catholic,Roman Catholic
976,Conservative Protestant,Conservative Protestant,Conservative Protestant
977,NA,Conservative Protestant,Protestant No Denomination
978,NA,Conservative Protestant,Protestant No Denomination
979,Mainline Protestant,Mainline Protestant,Mainline Protestant
980,Roman Catholic,Roman Catholic,Roman Catholic
981,Mainline Protestant,Mainline Protestant,Mainline Protestant
982,Roman Catholic,Roman Catholic,Roman Catholic
983,Roman Catholic,Roman Catholic,Roman Catholic
984,Mainline Protestant,Mainline Protestant,Mainline Protestant
985,Roman Catholic,Roman Catholic,Roman Catholic
986,Roman Catholic,Roman Catholic,Roman Catholic
987,Black Protestant,Black Protestant,Black Protestant
988,Black Protestant,Black Protestant,Black Protestant
989,Black Protestant,Black Protestant,Black Protestant
990,Mainline Protestant,Mainline Protestant,Mainline Protestant
991,Roman Catholic,Roman Catholic,Roman Catholic
992,Black Protestant,Black Protestant,Black Protestant
993,Black Protestant,Black Protestant,Black Protestant
994,Black Protestant,Black Protestant,Black Protestant
995,None,None,None
996,Conservative Protestant,Conservative Protestant,Conservative Protestant
997,Other,Other,Other
998,Conservative Protestant,Conservative Protestant,Conservative Protestant
999,Mainline Protestant,Mainline Protestant,Mainline Protestant
1000,Mainline Protestant,Mainline Protestant,Mainline Protestant
1001,Roman Catholic,Roman Catholic,Roman Catholic
1002,Roman Catholic,Roman Catholic,Roman Catholic
1003,Roman Catholic,Roman Catholic,Roman Catholic
1004,Roman Catholic,Roman Catholic,Roman Catholic
1005,Mainline Protestant,Mainline Protestant,Mainline Protestant
1006,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1007,Roman Catholic,Roman Catholic,Roman Catholic
1008,Mainline Protestant,Mainline Protestant,Mainline Protestant
1009,NA,Conservative Protestant,Protestant No Denomination
1010,Mainline Protestant,Mainline Protestant,Mainline Protestant
1011,Black Protestant,Black Protestant,Black Protestant
1012,Conservative Protestant,Conservative Protestant,Conservative Protestant
1013,Other,Other,Other
1014,Conservative Protestant,Conservative Protestant,Conservative Protestant
1015,Roman Catholic,Roman Catholic,Roman Catholic
1016,Mainline Protestant,Mainline Protestant,Mainline Protestant
1017,Mainline Protestant,Mainline Protestant,Mainline Protestant
1018,Mainline Protestant,Mainline Protestant,Mainline Protestant
1019,Mainline Protestant,Mainline Protestant,Mainline Protestant
1020,Roman Catholic,Roman Catholic,Roman Catholic
1021,Roman Catholic,Roman Catholic,Roman Catholic
1022,Mainline Protestant,Mainline Protestant,Mainline Protestant
1023,Mainline Protestant,Mainline Protestant,Mainline Protestant
1024,Mainline Protestant,Mainline Protestant,Mainline Protestant
1025,None,None,None
1026,Conservative Protestant,Conservative Protestant,Conservative Protestant
1027,Mainline Protestant,Mainline Protestant,Mainline Protestant
1028,Conservative Protestant,Conservative Protestant,Conservative Protestant
1029,Mainline Protestant,Mainline Protestant,Mainline Protestant
1030,Black Protestant,Black Protestant,Black Protestant
1031,Black Protestant,Black Protestant,Black Protestant
1032,Black Protestant,Black Protestant,Black Protestant
1033,Black Protestant,Black Protestant,Black Protestant
1034,Roman Catholic,Roman Catholic,Roman Catholic
1035,Conservative Protestant,Conservative Protestant,Conservative Protestant
1036,Mainline Protestant,Mainline Protestant,Mainline Protestant
1037,Conservative Protestant,Conservative Protestant,Conservative Protestant
1038,Mainline Protestant,Mainline Protestant,Mainline Protestant
1039,None,None,None
1040,Roman Catholic,Roman Catholic,Roman Catholic
1041,Conservative Protestant,Conservative Protestant,Conservative Protestant
1042,Mainline Protestant,Mainline Protestant,Mainline Protestant
1043,Mainline Protestant,Mainline Protestant,Mainline Protestant
1044,Mainline Protestant,Mainline Protestant,Mainline Protestant
1045,Black Protestant,Black Protestant,Black Protestant
1046,Black Protestant,Black Protestant,Black Protestant
1047,Roman Catholic,Roman Catholic,Roman Catholic
1048,None,None,None
1049,Black Protestant,Black Protestant,Black Protestant
1050,Black Protestant,Black Protestant,Black Protestant
1051,Mainline Protestant,Mainline Protestant,Mainline Protestant
1052,Mainline Protestant,Mainline Protestant,Mainline Protestant
1053,Mainline Protestant,Mainline Protestant,Mainline Protestant
1054,None,None,None
1055,Conservative Protestant,Conservative Protestant,Conservative Protestant
1056,Conservative Protestant,Conservative Protestant,Conservative Protestant
1057,Roman Catholic,Roman Catholic,Roman Catholic
1058,None,None,None
1059,Mainline Protestant,Mainline Protestant,Mainline Protestant
1060,None,None,None
1061,NA,Conservative Protestant,Protestant No Denomination
1062,None,None,None
1063,Black Protestant,Black Protestant,Black Protestant
1064,Black Protestant,Black Protestant,Black Protestant
1065,Black Protestant,Black Protestant,Black Protestant
1066,Conservative Protestant,Conservative Protestant,Conservative Protestant
1067,Conservative Protestant,Conservative Protestant,Conservative Protestant
1068,Conservative Protestant,Conservative Protestant,Conservative Protestant
1069,Roman Catholic,Roman Catholic,Roman Catholic
1070,Conservative Protestant,Conservative Protestant,Conservative Protestant
1071,Conservative Protestant,Conservative Protestant,Conservative Protestant
1072,Mainline Protestant,Mainline Protestant,Mainline Protestant
1073,Conservative Protestant,Conservative Protestant,Conservative Protestant
1074,None,None,None
1075,Conservative Protestant,Conservative Protestant,Conservative Protestant
1076,Mainline Protestant,Mainline Protestant,Mainline Protestant
1077,Conservative Protestant,Conservative Protestant,Conservative Protestant
1078,Mainline Protestant,Mainline Protestant,Mainline Protestant
1079,Mainline Protestant,Mainline Protestant,Mainline Protestant
1080,Mainline Protestant,Mainline Protestant,Mainline Protestant
1081,None,None,None
1082,Conservative Protestant,Conservative Protestant,Conservative Protestant
1083,Conservative Protestant,Conservative Protestant,Conservative Protestant
1084,Conservative Protestant,Conservative Protestant,Conservative Protestant
1085,Mainline Protestant,Mainline Protestant,Mainline Protestant
1086,Conservative Protestant,Conservative Protestant,Conservative Protestant
1087,Black Protestant,Black Protestant,Black Protestant
1088,Conservative Protestant,Conservative Protestant,Conservative Protestant
1089,Mainline Protestant,Mainline Protestant,Mainline Protestant
1090,Mainline Protestant,Mainline Protestant,Mainline Protestant
1091,Conservative Protestant,Conservative Protestant,Conservative Protestant
1092,Roman Catholic,Roman Catholic,Roman Catholic
1093,Conservative Protestant,Conservative Protestant,Conservative Protestant
1094,Conservative Protestant,Conservative Protestant,Conservative Protestant
1095,Conservative Protestant,Conservative Protestant,Conservative Protestant
1096,None,None,None
1097,Roman Catholic,Roman Catholic,Roman Catholic
1098,Mainline Protestant,Mainline Protestant,Mainline Protestant
1099,Roman Catholic,Roman Catholic,Roman Catholic
1100,Roman Catholic,Roman Catholic,Roman Catholic
1101,Conservative Protestant,Conservative Protestant,Conservative Protestant
1102,None,None,None
1103,Jewish,Jewish,Jewish
1104,Jewish,Jewish,Jewish
1105,Mainline Protestant,Mainline Protestant,Mainline Protestant
1106,Mainline Protestant,Mainline Protestant,Mainline Protestant
1107,Roman Catholic,Roman Catholic,Roman Catholic
1108,Roman Catholic,Roman Catholic,Roman Catholic
1109,Conservative Protestant,Conservative Protestant,Conservative Protestant
1110,Roman Catholic,Roman Catholic,Roman Catholic
1111,Mainline Protestant,Mainline Protestant,Mainline Protestant
1112,Mainline Protestant,Mainline Protestant,Mainline Protestant
1113,Roman Catholic,Roman Catholic,Roman Catholic
1114,Black Protestant,Black Protestant,Black Protestant
1115,Roman Catholic,Roman Catholic,Roman Catholic
1116,Roman Catholic,Roman Catholic,Roman Catholic
1117,Black Protestant,Black Protestant,Black Protestant
1118,Black Protestant,Black Protestant,Black Protestant
1119,Roman Catholic,Roman Catholic,Roman Catholic
1120,Roman Catholic,Roman Catholic,Roman Catholic
1121,Roman Catholic,Roman Catholic,Roman Catholic
1122,Roman Catholic,Roman Catholic,Roman Catholic
1123,Conservative Protestant,Conservative Protestant,Conservative Protestant
1124,Conservative Protestant,Conservative Protestant,Conservative Protestant
1125,Conservative Protestant,Conservative Protestant,Conservative Protestant
1126,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1127,Conservative Protestant,Conservative Protestant,Conservative Protestant
1128,Conservative Protestant,Conservative Protestant,Conservative Protestant
1129,Mainline Protestant,Mainline Protestant,Mainline Protestant
1130,Mainline Protestant,Mainline Protestant,Mainline Protestant
1131,Conservative Protestant,Conservative Protestant,Conservative Protestant
1132,Conservative Protestant,Conservative Protestant,Conservative Protestant
1133,Other,Other,Other
1134,Conservative Protestant,Conservative Protestant,Conservative Protestant
1135,Mainline Protestant,Mainline Protestant,Mainline Protestant
1136,Conservative Protestant,Conservative Protestant,Conservative Protestant
1137,Mainline Protestant,Mainline Protestant,Mainline Protestant
1138,Conservative Protestant,Conservative Protestant,Conservative Protestant
1139,Conservative Protestant,Conservative Protestant,Conservative Protestant
1140,NA,Conservative Protestant,Protestant No Denomination
1141,Other,Other,Other
1142,Black Protestant,Black Protestant,Black Protestant
1143,Black Protestant,Black Protestant,Black Protestant
1144,NA,Conservative Protestant,Protestant No Denomination
1145,Roman Catholic,Roman Catholic,Roman Catholic
1146,Mainline Protestant,Mainline Protestant,Mainline Protestant
1147,Conservative Protestant,Conservative Protestant,Conservative Protestant
1148,Roman Catholic,Roman Catholic,Roman Catholic
1149,Conservative Protestant,Conservative Protestant,Conservative Protestant
1150,Other,Other,Other
1151,Roman Catholic,Roman Catholic,Roman Catholic
1152,Conservative Protestant,Conservative Protestant,Conservative Protestant
1153,Roman Catholic,Roman Catholic,Roman Catholic
1154,Mainline Protestant,Mainline Protestant,Mainline Protestant
1155,None,None,None
1156,None,None,None
1157,Mainline Protestant,Mainline Protestant,Mainline Protestant
1158,Mainline Protestant,Mainline Protestant,Mainline Protestant
1159,Roman Catholic,Roman Catholic,Roman Catholic
1160,NA,Conservative Protestant,Protestant No Denomination
1161,Other,Other,Other
1162,NA,Conservative Protestant,Protestant No Denomination
1163,Other,Other,Other
1164,NA,Conservative Protestant,Protestant No Denomination
1165,None,None,None
1166,None,None,None
1167,Mainline Protestant,Mainline Protestant,Mainline Protestant
1168,Other,Other,Other
1169,None,None,None
1170,Mainline Protestant,Mainline Protestant,Mainline Protestant
1171,Conservative Protestant,Conservative Protestant,Conservative Protestant
1172,Roman Catholic,Roman Catholic,Roman Catholic
1173,Roman Catholic,Roman Catholic,Roman Catholic
1174,Black Protestant,Black Protestant,Black Protestant
1175,Black Protestant,Black Protestant,Black Protestant
1176,Black Protestant,Black Protestant,Black Protestant
1177,Conservative Protestant,Conservative Protestant,Conservative Protestant
1178,Mainline Protestant,Mainline Protestant,Mainline Protestant
1179,Conservative Protestant,Conservative Protestant,Conservative Protestant
1180,Conservative Protestant,Conservative Protestant,Conservative Protestant
1181,Roman Catholic,Roman Catholic,Roman Catholic
1182,Roman Catholic,Roman Catholic,Roman Catholic
1183,Jewish,Jewish,Jewish
1184,None,None,None
1185,NA,Conservative Protestant,Protestant No Denomination
1186,Jewish,Jewish,Jewish
1187,Roman Catholic,Roman Catholic,Roman Catholic
1188,Jewish,Jewish,Jewish
1189,None,None,None
1190,None,None,None
1191,Mainline Protestant,Mainline Protestant,Mainline Protestant
1192,Other,Other,Other
1193,Mainline Protestant,Mainline Protestant,Mainline Protestant
1194,Roman Catholic,Roman Catholic,Roman Catholic
1195,Jewish,Jewish,Jewish
1196,Roman Catholic,Roman Catholic,Roman Catholic
1197,Mainline Protestant,Mainline Protestant,Mainline Protestant
1198,Mainline Protestant,Mainline Protestant,Mainline Protestant
1199,Roman Catholic,Roman Catholic,Roman Catholic
1200,Roman Catholic,Roman Catholic,Roman Catholic
1201,None,None,None
1202,Conservative Protestant,Conservative Protestant,Conservative Protestant
1203,NA,NA,NA
1204,Mainline Protestant,Mainline Protestant,Mainline Protestant
1205,Conservative Protestant,Conservative Protestant,Conservative Protestant
1206,Mainline Protestant,Mainline Protestant,Mainline Protestant
1207,Conservative Protestant,Conservative Protestant,Conservative Protestant
1208,None,None,None
1209,Mainline Protestant,Mainline Protestant,Mainline Protestant
1210,Roman Catholic,Roman Catholic,Roman Catholic
1211,Roman Catholic,Roman Catholic,Roman Catholic
1212,Conservative Protestant,Conservative Protestant,Conservative Protestant
1213,Mainline Protestant,Mainline Protestant,Mainline Protestant
1214,Conservative Protestant,Conservative Protestant,Conservative Protestant
1215,Roman Catholic,Roman Catholic,Roman Catholic
1216,Mainline Protestant,Mainline Protestant,Mainline Protestant
